time,hot_list,search_hot_list,overview_search_index,overview_content_index,overview_consume_index
20210612,8559,4255,3383,3308,13813
20210613,7808,4339,3311,4541,24065
20210614,18524,3285,2655,3954,24244
20210615,7391,2358,2198,2301,10571
20210616,4618,2521,2166,2181,7773
20210617,4616,2426,2162,1808,8834
20210618,5647,2396,2308,1528,9359
20210619,5244,2765,2366,1450,8025
20210620,4356,2543,2808,1767,6088
20210621,3813,4449,2662,1944,4887
20210622,3091,2328,2030,1644,4635
20210623,2923,2339,2007,1862,6249
20210624,4684,2235,2017,2164,7787
20210625,4447,2258,2187,1968,7159
20210626,4180,2683,2373,1841,8253
20210627,5685,2744,2176,1902,9616
20210628,5392,2163,1979,1957,7079
20210629,2993,2233,1987,2127,5558
20210630,3872,2155,1937,2400,6306
20210701,3683,2049,1958,1881,6442
20210702,4005,2149,2153,1093,7643
20210703,5028,2513,2326,1042,7328
20210704,3804,2531,2232,1442,5692
20210705,3287,2178,2070,2868,5421
20210706,3426,2268,2062,2956,5446
20210707,3307,2291,2077,1883,5391
20210708,3350,2151,2038,1702,5024
20210709,2949,2196,2158,1609,6304
20210710,4700,2453,2385,1525,6942
20210711,3686,2585,2336,1558,6952
20210712,4702,2330,2265,1841,7412
20210713,4150,2529,2288,1808,6970
20210714,4305,2464,2186,1862,6910
20210715,4029,2325,2324,2176,6133
20210716,3535,2484,2511,1974,5579
20210717,3583,2689,2496,1686,5282
20210718,3255,2549,2383,1686,5886
20210719,4103,2389,2311,1981,6537
20210720,3901,2511,2462,2494,5497
20210721,3159,2746,2513,2431,4685
20210722,3110,2592,2367,2000,9595
20210723,7997,2498,2409,1882,10859
20210724,4419,2759,2549,1835,6723
20210725,3947,2788,2506,1812,7400
20210726,5061,2633,2456,2532,6497
20210727,2993,2635,2540,3308,5299
20210728,3926,2859,2719,2614,5737
20210729,3567,3108,2745,2387,5171
20210730,3381,2910,2716,2465,5448
20210731,3796,2911,2870,1765,8926
20210801,6934,3184,2890,2882,10701
20210802,5614,3086,2974,3512,8235
20210803,4428,3031,3017,2798,8132
20210804,5513,3073,3288,3315,8495
20210805,5125,4157,3912,3962,6986
20210806,4500,4927,4192,3282,6919
20210807,5350,5128,3920,2488,8299
20210808,5614,3819,2929,2868,9194
20210809,5733,3408,2296,3273,8026
