time,hot_list,search_hot_list,overview_search_index,overview_content_index,overview_consume_index
20210612,86,36,21,9,112
20210613,46,29,13,8,87
20210614,57,22,12,8,72
20210615,29,21,13,6,45
20210616,29,19,13,5,47
20210617,30,18,11,5,50
20210618,30,13,12,4,51
20210619,33,25,16,4,59
20210620,41,21,13,6,98
20210621,69,15,15,7,182
20210622,125,21,20,6,161
20210623,50,22,42,7,1038
20210624,1016,69,54,8,1517
20210625,537,50,36,7,708
20210626,198,40,20,6,262
20210627,81,15,18,8,131
20210628,66,34,30,12,131
20210629,91,48,29,11,117
20210630,49,25,17,10,72
20210701,36,16,15,9,93
20210702,68,19,17,9,142
20210703,86,20,15,10,119
20210704,44,16,13,8,68
20210705,35,17,16,7,54
20210706,32,23,20,7,56
20210707,39,25,19,7,61
20210708,37,21,21,7,98
20210709,77,28,20,8,122
20210710,60,19,20,10,98
20210711,54,31,21,9,101
20210712,64,22,20,7,105
20210713,57,27,23,13,80
20210714,42,31,26,15,58
20210715,38,38,26,11,59
20210716,42,27,22,12,57
20210717,32,26,22,10,44
20210718,30,31,23,10,39
20210719,29,31,25,16,37
20210720,29,35,26,18,53
20210721,44,30,22,15,127
20210722,101,27,32,9,137
20210723,61,51,39,6,74
20210724,43,44,33,9,47
20210725,32,45,27,15,43
20210726,34,30,20,13,46
20210727,29,25,20,9,41
20210728,29,29,26,10,38
20210729,30,40,31,11,81
20210730,76,42,29,16,89
20210731,36,33,55,19,44
20210801,50,104,80,18,34
20210802,46,100,60,13,34
20210803,37,62,45,12,48
20210804,50,64,40,18,57
20210805,41,44,35,19,58
20210806,48,56,38,17,57
20210807,43,54,39,17,67
20210808,58,54,44,18,84
20210809,65,71,51,20,100
20210810,80,75,86,26,306
20210811,292,143,141,32,584
20210812,392,188,119,34,448
20210813,144,101,68,45,248
20210814,162,87,67,44,291
20210815,190,113,73,38,367
20210816,242,103,76,55,350
20210817,174,115,87,62,231
20210818,133,134,103,60,177
20210819,132,155,114,52,171
20210820,134,158,110,47,167
20210821,125,146,97,63,175
20210822,134,132,110,66,240
20210823,200,179,143,65,265
20210824,186,221,144,75,235
20210825,174,191,208,69,395
20210826,392,376,361,77,691
20210827,568,518,367,96,587
20210828,289,378,440,89,346
20210829,352,601,415,94,321
20210830,237,289,223,107,265
20210831,198,275,203,105,189
20210901,155,268,186,104,195
20210902,192,235,171,141,248
20210903,206,262,251,168,482
20210904,493,458,293,145,481
20210905,235,362,220,154,419
20210906,367,246,191,168,441
20210907,235,290,225,166,277
20210908,226,322,289,175,264
20210909,254,395,379,178,416
20210910,443,538,506,173,644
20210911,580,722,531,164,734
20210912,548,589,1444,173,1395
20210913,1723,2327,2412,185,1692
20210914,1350,2271,1557,191,982
20210915,554,800,746,201,885
20210916,837,886,828,191,891
20210917,627,1022,1094,189,1320
20210918,1449,1494,1637,200,2926
20210919,2658,2438,8551,226,4752
20210920,7279,14835,67885,343,4659
20210921,33992,107196,70465,269,2434
20210922,6217,18717,11620,77,841
20210923,1102,2871,2337,48,396
20210924,686,1764,1794,37,334
20210925,744,1885,1227,25,275
20210926,302,682,541,23,188
20210927,247,520,432,29,163
20210928,206,444,377,29,128
20210929,180,413,439,28,147
20210930,258,556,581,30,185
20211001,305,702,667,26,193
20211002,332,775,652,24,183
20211003,297,707,590,23,151
20211004,264,656,545,25,334
20211005,446,594,583,24,564
20211006,499,671,517,24,383
20211007,222,453,290,33,775
20211008,756,222,208,34,1105
20211009,495,261,254,30,944
20211010,640,323,236,21,604
20211011,145,208,186,14,132
20211012,123,195,149,22,101
20211013,103,146,105,22,88
20211014,86,116,100,20,80
20211015,90,134,114,17,90
20211016,106,160,139,14,130
20211017,145,194,111,21,139
20211018,96,73,72,24,128
20211019,108,97,82,24,123
20211020,99,99,202,22,108
20211021,149,291,202,15,101
20211022,85,99,101,14,106
20211023,110,148,119,18,102
20211024,98,141,87,17,83
20211025,65,64,49,16,76
20211026,65,57,46,16,78
20211027,65,58,69,16,78
20211028,77,99,87,18,73
20211029,75,101,89,13,72
20211030,76,114,80,8,75
20211031,69,88,69,10,101
20211101,95,85,92,12,126
20211102,106,121,112,10,98
20211103,74,115,83,8,62
20211104,50,61,49,11,70
20211105,66,53,70,10,90
20211106,86,119,82,8,93
20211107,77,86,56,9,73
20211108,48,55,58,11,58
20211109,64,85,55,9,67
20211110,51,43,39,6,66
20211111,49,49,50,7,68
20211112,61,65,67,7,76
20211113,71,94,74,9,94
20211114,87,85,64,12,80
20211115,51,66,46,9,50
20211116,42,44,41,8,75
20211117,72,55,45,11,65
20211118,37,53,50,12,43
20211119,55,69,65,9,49
20211120,52,91,65,8,38
20211121,43,67,52,8,32
20211122,37,61,47,7,31
20211123,35,47,54,8,35
20211124,48,81,76,8,32
20211125,44,87,89,10,38
20211126,60,96,95,10,44
20211127,56,110,86,7,33
20211128,43,86,59,8,32
20211129,38,50,57,10,34
20211130,47,85,74,9,32
20211201,48,92,83,9,34
20211202,52,96,85,9,36
20211203,51,95,85,7,38
20211204,53,100,92,7,37
20211205,57,117,80,8,31
20211206,40,73,55,7,27
20211207,34,57,45,12,46
20211208,57,50,50,14,59
20211209,55,77,59,9,55
20211210,55,73,65,10,49
20211211,50,79,65,11,39
20211212,46,73,54,9,34
20211213,36,55,76,10,33
20211214,60,120,89,11,41
20211215,58,100,63,10,40
20211216,42,65,70,12,38
20211217,64,117,78,10,36
20211218,42,79,77,7,122
20211219,141,98,65,11,146
20211220,64,60,45,11,55
20211221,37,56,43,8,29
20211222,33,53,43,8,28
20211223,37,59,48,10,37
20211224,46,58,61,11,38
20211225,47,84,63,8,32
20211226,39,65,63,7,29
20211227,47,97,68,8,22
20211228,40,87,60,8,19
20211229,37,75,65,9,35
20211230,55,82,61,9,37
20211231,32,53,54,18,25
20220101,57,98,60,21,23
20220102,47,99,83,30,68
20220103,134,174,176,43,139
20220104,224,408,164,30,112
20220105,82,136,159,27,143
20220106,247,391,228,41,224
20220107,246,366,144,46,201
20220108,145,113,166,40,186
20220109,247,437,210,50,136
20220110,149,260,126,50,77
20220111,104,160,100,28,108
20220112,132,172,98,46,120
20220113,132,153,97,54,110
20220114,129,168,135,36,100
20220115,142,278,150,44,71
20220116,123,219,122,41,62
20220117,102,185,177,25,65
20220118,165,402,191,24,62
20220119,112,233,133,37,67
20220120,125,209,1767,29,152
20220121,1823,5678,2205,15,170
20220122,567,1667,1159,16,133
20220123,741,2191,2169,18,183
20220124,1629,5034,2231,19,159
20220125,780,2397,1186,15,181
20220126,602,1551,810,19,203
20220127,430,1146,1341,22,166
20220128,1099,3321,1732,20,166
20220129,819,2450,978,18,109
20220130,286,807,395,17,59
20220131,185,504,436,14,64
20220201,329,946,539,9,76
20220202,295,849,462,10,65
20220203,242,690,304,10,50
20220204,122,321,239,8,43
20220205,168,471,365,15,57
20220206,269,741,342,18,65
20220207,156,395,528,14,80
20220208,466,1363,760,15,87
20220209,396,1168,591,17,75
20220210,287,800,357,19,66
20220211,155,389,228,18,50
20220212,141,369,220,16,61
20220213,156,361,265,17,67
20220214,193,517,411,22,71
20220215,311,847,347,21,71
20220216,128,306,127,14,48
20220217,61,115,71,12,38
20220218,60,117,144,14,48
20220219,146,358,177,15,54
20220220,100,227,101,13,105
20220221,119,105,86,12,200
20220222,179,180,210,13,205
20220223,249,520,218,12,130
20220224,111,204,103,11,99
20220225,102,135,74,11,104
20220226,87,108,72,8,89
20220227,82,129,72,8,64
20220228,62,109,51,11,53
20220301,53,57,46,8,46
20220302,47,91,55,6,42
20220303,56,89,52,9,55
20220304,60,83,144,9,85
20220305,178,395,170,6,77
20220306,75,167,72,6,32
20220307,35,69,52,7,35
20220308,59,102,77,6,45
20220309,69,151,78,7,36
20220310,52,105,63,10,32
20220311,53,101,100,10,51
20220312,108,229,123,6,69
20220313,90,177,90,6,54
20220314,60,117,75,8,48
20220315,71,129,81,8,43
20220316,61,137,79,7,28
20220317,53,122,77,8,28
20220318,60,133,132,17,57
20220319,146,306,131,21,66
20220320,72,127,73,18,73
20220321,92,113,70,15,100
20220322,93,118,84,11,116
20220323,118,160,83,11,99
20220324,75,115,144,13,151
20220325,233,362,318,12,175
20220326,272,694,756,12,121
20220327,617,1821,583,15,96
20220328,77,119,62,15,56
20220329,56,85,65,11,49
20220330,69,127,69,6,44
20220331,50,100,57,6,39
20220401,52,88,55,8,34
20220402,45,91,62,7,24
20220403,48,113,61,8,25
20220404,46,90,60,11,74
20220405,99,108,61,12,83
20220406,57,93,54,11,39
20220407,47,86,53,8,34
